SIN002-0001|vihiLua novana bava /aya dh/ana sitiyaa ya /agea mavata dha ovungea sambanDhaya piLibanndha ho)duvaavak dhithata dh/aniNi|vihiLua novana bava /aya dh/ana sitiyaa ya /agea mavata dha ovungea sambanDhaya piLibanndha ho)duvaavak dhithata dh/aniNi
SIN002-0002|ethema saro)jaata tharamak thepaLeaya mev/ani avasThaa valadhii ohugea vadhan |ethema saro)jaata tharamak thepaLeaya mev/ani avasThaa valadhii ohugea vadhan 
SIN002-0003|oyaa kavadhaahari ga`gata yannea n/athiva inna eka honndhayi ehe pirimi oyaa dhihaa balanakota mata iirisiyaa hithenavaa|oyaa kavadhaahari ga`gata yannea n/athiva inna eka honndhayi ehe pirimi oyaa dhihaa balanakota mata iirisiyaa hithenavaa
SIN002-0004|ethana gala uda idhan ilandhaari ga`gata paninavaa vathura k/al/aththenavaa mada vathura|ethana gala uda idhan ilandhaari ga`gata paninavaa vathura k/al/aththenavaa mada vathura
SIN002-0005|ethana okkoma pirimi ammath ekka /alikat ekata yanna mamath k/amathi nAa thotupoLata|ethana okkoma pirimi ammath ekka /alikat ekata yanna mamath k/amathi nAa thotupoLata
SIN002-0006|saro)jaagea mallii aapasu nivasa dhesata h/aruNeaya oyaa mea naana thotupaLata enna epaa |saro)jaagea mallii aapasu nivasa dhesata h/aruNeaya oyaa mea naana thotupaLata enna epaa 
SIN002-0007|mama ammath ekka ennam mama ayiyata saramak geannam|mama ammath ekka ennam mama ayiyata saramak geannam
SIN002-0008|eakata kamak nAa oyaata mallith ekka thare`gata piinannath puLuavan ehenam oya dhenna yanna|eakata kamak nAa oyaata mallith ekka thare`gata piinannath puLuavan ehenam oya dhenna yanna
SIN002-0009|ga`gata yanava mallith ekka amma thava tikakin enava kivva apith ennadha ?|ga`gata yanava mallith ekka amma thava tikakin enava kivva apith ennadha ?
SIN002-0010|saro)jaa athiitha s/amarum saagarayea kimidhunaaya oyaa koheatadha naanna yanne |saro)jaa athiitha s/amarum saagarayea kimidhunaaya oyaa koheatadha naanna yanne 
SIN002-0011|boho) dhAa s/a`gavii /aththak meni eaka honndhaa thamaa mama geattuvea murakaarayingen|boho) dhAa s/a`gavii /aththak meni eaka honndhaa thamaa mama geattuvea murakaarayingen
SIN002-0012|basn/avathumpaLata La`ga viimen pasu baalachandhra veadhanaathmaka sithin eya karapinnaagena siti athara|basn/avathumpaLata La`ga viimen pasu baalachandhra veadhanaathmaka sithin eya karapinnaagena siti athara
SIN002-0013|ovungea milina voo muhuNu valin saha iriyav valin piLiBibu viya|ovungea milina voo muhuNu valin saha iriyav valin piLiBibu viya
SIN002-0014|suvadhuk vimasamin gaman kaLa dha viyo) dhuken midhiimata h/akiveadha yana s/akaya|suvadhuk vimasamin gaman kaLa dha viyo) dhuken midhiimata h/akiveadha yana s/akaya
SIN002-0015|p/athum ituveadho) s/akayen mathu voo veadhanaaven piit maavatha dhesata piyama\n kaLaha|p/athum ituveadho) s/akayen mathu voo veadhanaaven piit maavatha dhesata piyama\n kaLaha
SIN002-0016|us gasvalin sevaNa vuNu Laa dham paata mal visiruNu padhika veadhikaava dhigea |us gasvalin sevaNa vuNu Laa dham paata mal visiruNu padhika veadhikaava dhigea 
SIN002-0017|tharamak dhura idhiriyata gaman kara layanal bent kalaagaaraya dhesata h/aruNaha|tharamak dhura idhiriyata gaman kara layanal bent kalaagaaraya dhesata h/aruNaha
SIN002-0018|dhura novana bava sitha sithaa sanasaa gaththeaya saro)jaath baalachandhrath |dhura novana bava sitha sithaa sanasaa gaththeaya saro)jaath baalachandhrath 
SIN002-0019|/ayagea senehasa nos/alii p/avathiNi nam balaaporoththuvea kiruLua p/aLanndhaviimea maha uthsavaya|/ayagea senehasa nos/alii p/avathiNi nam balaaporoththuvea kiruLua p/aLanndhaviimea maha uthsavaya
SIN002-0020|hadhavatha sidhuru karannaa voo dhuka kothek velaa ivasaa sitiima veadh/ayi sithiNi|hadhavatha sidhuru karannaa voo dhuka kothek velaa ivasaa sitiima veadh/ayi sithiNi
SIN002-0021|apea sambanDhaya navaththala kiyala mama gedharata kivvaa ohugea vatha anndhuru valaavakin v/asii giyeaya|apea sambanDhaya navaththala kiyala mama gedharata kivvaa ohugea vatha anndhuru valaavakin v/asii giyeaya
SIN002-0022|paaren ehaa p/aththe maara gahak La`gata giyaanam saro)jaagea dhiipthimath dhAasehi p/avasiimata|paaren ehaa p/aththe maara gahak La`gata giyaanam saro)jaagea dhiipthimath dhAasehi p/avasiimata
SIN002-0023|eath apea sambanDhaya aLuath unaa kiyala dh/anagaththahama mea velaavea kisima dheyak ekapaaratama kisima dheyak a`gavanna ho\ 	nAa |eath apea sambanDhaya aLuath unaa kiyala dh/anagaththahama mea velaavea kisima dheyak ekapaaratama kisima dheyak a`gavanna ho\ 	nAa 
SIN002-0024|api gedhara yamu shayaa raththaran badu tika genaava kivvama ammata ihea malak pipuNa vagea veavi|api gedhara yamu shayaa raththaran badu tika genaava kivvama ammata ihea malak pipuNa vagea veavi
SIN002-0025|/athi bava vatahaagath baalachandhra jiivithayea iiLa`la piyavara sathutudhaayaka balaaporoththu sahitha ekak viya h/aki bava sithuveaya |/athi bava vatahaagath baalachandhra jiivithayea iiLa`la piyavara sathutudhaayaka balaaporoththu sahitha ekak viya h/aki bava sithuveaya 
SIN002-0026|ehenam api dh/an mokak karannadha thamaa kerehi /athi b/anndhiima /aya keren ivath novii|ehenam api dh/an mokak karannadha thamaa kerehi /athi b/anndhiima /aya keren ivath novii
SIN002-0027|tichar kenek api dhenna dh/akkoth heta iskoleta visthara kiyalaa ivarayak n/athivenavaa|tichar kenek api dhenna dh/akkoth heta iskoleta visthara kiyalaa ivarayak n/athivenavaa
SIN002-0028|ethakota thamayi niyama lassana peanne dh/an loku isko)le /arila Lamayi methanin ehaata yaavi |ethakota thamayi niyama lassana peanne dh/an loku isko)le /arila Lamayi methanin ehaata yaavi 
SIN002-0029|apea ammath apea na\ngilaata kiyanne tharuNa kaale aava idhalama saari anndhinna kiyalaa|apea ammath apea na\ngilaata kiyanne tharuNa kaale aava idhalama saari anndhinna kiyalaa
SIN002-0030|mama kaatath hari peanda ennea n/athiva balan hitiyaa saariyakata oyaa hari lassanayi|mama kaatath hari peanda ennea n/athiva balan hitiyaa saariyakata oyaa hari lassanayi
SIN002-0031|mama udhea ammath ekka isko)le aLuath pathviimata v/ada baaraganna yanavaa ov|mama udhea ammath ekka isko)le aLuath pathviimata v/ada baaraganna yanavaa ov
SIN002-0032|pudhumayenuth pudhumayi eaka nemeyi api methana kathaa kara kara inna eka honndha madhi|pudhumayenuth pudhumayi eaka nemeyi api methana kathaa kara kara inna eka honndha madhi
SIN002-0033| o)\n mama oyaage pinthoora ekak gannavaa adha oyaa hari lassanayi oyaa dh/akkadha| o)\n mama oyaage pinthoora ekak gannavaa adha oyaa hari lassanayi oyaa dh/akkadha
SIN002-0034|sithehi th/anpath karagath baalachandhra edhina /aya paasala /arii enathek balaa sitiyeaya|sithehi th/anpath karagath baalachandhra edhina /aya paasala /arii enathek balaa sitiyeaya
SIN002-0035|/aya sama`ga vadhan kihipayak huvamaari kara g/aniimea adhahasa saha /ayagea Chuyaaroopayak gatha yuthu yana adhahasa|/aya sama`ga vadhan kihipayak huvamaari kara g/aniimea adhahasa saha /ayagea Chuyaaroopayak gatha yuthu yana adhahasa
