SIN004-0001|muthuv/al vagea ihiruNu puvakmal kiNithi dhakinnanam ayeth gamatama yanna  o)ni panthi kaamarayea i`dhalaa govipalata aavama|muthuv/al vagea ihiruNu puvakmal kiNithi dhakinnanam ayeth gamatama yanna  o)ni panthi kaamarayea i`dhalaa govipalata aavama
SIN004-0002|v/ata dhigata sitavoo puvak p/aLa piidhunea karakat pittaniyata eya g/aniimata maasa gaNanakata issellaa|v/ata dhigata sitavoo puvak p/aLa piidhunea karakat pittaniyata eya g/aniimata maasa gaNanakata issellaa
SIN004-0003|vindhanaya kaLa ayuru sithata n/aguneaya - maayimata sitavoo /asaLa gas kaha paatin mal vaguranavaa|vindhanaya kaLa ayuru sithata n/aguneaya - maayimata sitavoo /asaLa gas kaha paatin mal vaguranavaa
SIN004-0004|thuLata ri\ngana miim/as k/aLagea gumu gumu nadha guththila pa`dithumaagea kanka`pha vinanadha men|thuLata ri\ngana miim/as k/aLagea gumu gumu nadha guththila pa`dithumaagea kanka`pha vinanadha men
SIN004-0005|dhev m/adhuren penena parisaraya kotharam sundharadha sithka`phadha mal valin ron uraagena miim/asi pettiyak|dhev m/adhuren penena parisaraya kotharam sundharadha sithka`phadha mal valin ron uraagena miim/asi pettiyak
SIN004-0006|edhesa balaa sitina ohuta m/avii penennea paasal govi bimehi kaShikarma dheashaNa kaamarayea viidhuru janeala /ariya vita |edhesa balaa sitina ohuta m/avii penennea paasal govi bimehi kaShikarma dheashaNa kaamarayea viidhuru janeala /ariya vita 
SIN004-0007|avata b/aloo b/almata penennea malin piruNu gas v/alya adhathata neth yomu kaLa vita thuru vadhu`pha valin g/avasi paradheashayaki|avata b/aloo b/almata penennea malin piruNu gas v/alya adhathata neth yomu kaLa vita thuru vadhu`pha valin g/avasi paradheashayaki
SIN004-0008|dh/an gathehi voo aparaaNika bavath, papuvehi voo veadhanaavath tharamak hiinavii gos /atha vaattuvea pitatha parisaraya nisalaya|dh/an gathehi voo aparaaNika bavath, papuvehi voo veadhanaavath tharamak hiinavii gos /atha vaattuvea pitatha parisaraya nisalaya
SIN004-0009|ema vaatutva vooyea dhevana thattuveaya janeaLaya asaLa /a`dhak thamaata l/abiima g/ana chandhraseakaragea sithehi sathutak /athi viya|ema vaatutva vooyea dhevana thattuveaya janeaLaya asaLa /a`dhak thamaata l/abiima g/ana chandhraseakaragea sithehi sathutak /athi viya
SIN004-0010|ohu hadhayaabaaDha ro)giin sitina vaattuvata /athuLath kaLeaya minuvangoda maha ro)halehi|ohu hadhayaabaaDha ro)giin sitina vaattuvata /athuLath kaLeaya minuvangoda maha ro)halehi
SIN004-0011|hu`gak aya miita virudhDhava tharka idhiripath kaLaa mamath meaka ithihaasaya Lamayinge kaShikarma aDh\yaapanayata vena haaniya|hu`gak aya miita virudhDhava tharka idhiripath kaLaa mamath meaka ithihaasaya Lamayinge kaShikarma aDh\yaapanayata vena haaniya
SIN004-0012|ohu navathaa nivasata dha ea bava dh/anum dhunneaya aaro)g\ya shaalaaveadhii ohu pariikShaa kaLa vIdh\yavaru|ohu navathaa nivasata dha ea bava dh/anum dhunneaya aaro)g\ya shaalaaveadhii ohu pariikShaa kaLa vIdh\yavaru
SIN004-0013|vidhuhalpathigea avasaraya gath padhmanaadhan thavath guruvarayeku sama`ga aaro)g\ya shaalaava vetha gos|vidhuhalpathigea avasaraya gath padhmanaadhan thavath guruvarayeku sama`ga aaro)g\ya shaalaava vetha gos
SIN004-0014|kohoma unath kolinma ispirithaalekata ekkagena yana eka ho`dhayi thavath ayeth thama vaahanaya gena eamata giyeaya|kohoma unath kolinma ispirithaalekata ekkagena yana eka ho`dhayi thavath ayeth thama vaahanaya gena eamata giyeaya
SIN004-0015|chandhraseakarata preShar thiyanavane ea nisaa venna/athi kenek kiivaa hiti gaman preShar v/adi velaa beheth gannavaa|chandhraseakarata preShar thiyanavane ea nisaa venna/athi kenek kiivaa hiti gaman preShar v/adi velaa beheth gannavaa
SIN004-0016|paraThamaaDhaara kaamaraya vetha ohu r/agena giyeaya vitin vita aachaaryavarun p/amiNa suvadhuk b/aliiya|paraThamaaDhaara kaamaraya vetha ohu r/agena giyeaya vitin vita aachaaryavarun p/amiNa suvadhuk b/aliiya
